Unnamed: 0,Canton,Code,Population,ISO,Unnamed: 5,GDP
,Zürich,ZH,"1,576,263",CH-ZH,,104620
,Bern/Berne,BE,"1,045,202",CH-BE,,85151
,Luzern,LU,"426,471",CH-LU,,75544
,Uri,UR,"37,634",CH-UR,,58392
,Schwyz,SZ,"164,343",CH-SZ,,70739
,Obwalden,OW,"38,130",CH-OW,,74902
,Nidwalden,NW,"43,565",CH-NW,,74952
,Glarus,GL,"40,073",CH-GL,,75430
,Zug,ZG,"126,837",CH-ZG,,192958
,Fribourg,FR,"318,714",CH-FR,,64502
,Solothurn,SO,"273,194",CH-SO,,73803
,Basel-Stadt,BS,"201,818",CH-BS,,209782
,Basel-Landschaft,BL,"292,404",CH-BL,,77693
,Schaffhausen,SH,"81,042",CH-SH,,100959
,Appenzell Ausserrhoden,AR,"55,013",CH-AR,,67341
,Appenzell Innerrhoden,AI,"16,122",CH-AI,,75526
,St. Gallen,SG,"511,593",CH-SG,,85320
,Graubünden/Grigioni,GR,"198,379",CH-GR,,82817
,Aargau,AG,"688,020",CH-AG,,67224
,Thurgau,TG,"282,909",CH-TG,,70504
,Ticino,TI,"353,343",CH-TI,,102190
,Vaud,VD,"811,244",CH-VD,,78021
,Valais/Wallis,VS,"347,343",CH-VS,,61387
,Neuchâtel,NE,"176,850",CH-NE,,106165
,Genève,GE,"504,128",CH-GE,,119644
,Jura,JU,"73,802",CH-JU,,78546
